parcel_address,stop_name,distance
3400L S BROAD ST,NRG Station,0.00
1340 GEARY ST,Broad St & Geary St,0.00
561 W ROOSEVELT BLVD,Roosevelt Blvd & 6th St,0.00
935 N BROAD ST,Broad St & Girard Av,0.00
3135-49 N BROAD ST,Broad St & Allegheny Av,0.00
822 W ERIE AVE,9th St & Erie Av,0.00
701-41 W ROOSEVELT BLVD,Roosevelt Blvd & 7th St - FS,0.00
3309 S GALLOWAY ST,Packer Av & Galloway St,0.00
801 S 57TH ST,57th St & Christian St,0.00
5570 MARKET ST,56th St & Market St,0.00
5700 LANCASTER AVE,59th St & Columbia Av,0.00
6100 CITY AVE,Drexel Rd & City Line Av,0.00
6424-30 CITY AVE,Lankenau Medical Center,0.01
5900 W COLUMBIA AVE,59th St & Columbia Av - FS,0.00
5600-06 MARKET ST,56th St & Market St - FS,0.00
5601 CHRISTIAN ST,56th St & Christian St,0.00
5801 WOODLAND AVE,58th St & Woodland Av ,0.00
2714 S 63RD ST,63rd St & Lindbergh Blvd,0.00
4608-26 N 8TH ST,Roosevelt Blvd & 9th St,0.00
401 LINDLEY AVE,Lindley Av & 5th St,0.00
1356 WAGNER AVE,Lindley Av & Broad St,0.00
171-77 E CHELTEN AVE,Chelten Av & Baynton St - FS,0.00
501 W CHELTEN AVE,Chelten Av & Wissahickon Av - MBNS,0.00
2951 W SCHOOL HOUSE LN,Wissahickon Av & School House Ln,0.00
182-84 E CHELTEN AVE,Chelten Av & Baynton St ,0.00
1600 LINDLEY AVE,Lindley Av & 16th St,0.00
1400 LINDLEY AVE,Lindley Av & Broad St ,0.00
5056-60 N 5TH ST,Lindley Av & 5th St,0.00
4675 FRANKFORD AVE,Arrott Transportation Center - MFL,0.00
4536-42 FRANKFORD AVE,Orthodox St & Frankford Av,0.00
4700 FRANKFORD AVE,Arrott Transportation Center,0.00
6601-11 N BROAD ST,66th Av & Broad St ,0.00
801 E CHELTEN AVE,Chew Av & Chelten Av - FS,0.00
200-20 W CHELTEN AVE,Wayne Av & Chelten Av - FS,0.00
4156-78 RIDGE AVE,River Rd & Midvale Av,0.00
4200-06 RIDGE AVE,Ridge Av & Midvale Av,0.00
176-82 W CHELTEN AVE,Wayne Av & Chelten Av,0.00
1240-42 E CHELTEN AVE,Chelten Av & Wister St,0.00
6500-90 OLD YORK RD,66th Av & Old York Rd,0.00
2156 CHELTEN AVE,Wister St & Chelten Av,0.00
8247 RODNEY ST,Rodney St & Mt Airy Av,0.00
8239 STENTON AVE,Stenton Av & Mt Airy Av,0.00
8601-03 GERMANTOWN AVE,Evergreen Av & Germantown Av,0.00
8623 GERMANTOWN AVE,Germantown Av & Bethlehem Pk,0.00
