parcel_address,stop_name,distance
500 DEVEREAUX AVE,Rising Sun Av & Devereaux Av ,0.00
6501 HARBISON AVE,Harbison Av & Magee Av ,0.00
6239 RISING SUN AVE,Rising Sun Av & Robbins St ,0.00
6351-53 RISING SUN AVE,Rising Sun Av & Levick St ,0.00
6620 E ROOSEVELT BLVD,Harbison Av & Roosevelt Blvd - FS,0.00
6449 RISING SUN AVE,Rising Sun Av & Hellerman St ,0.00
6537 RISING SUN AVE,Rising Sun Av & Magee Av ,0.00
6600 MARTINS MILL RD,Rising Sun Av & Martins Mill Rd,0.00
2200 UNRUH AVE,Harbison Av & Unruh Av ,0.00
6727 HARBISON AVE,Harbison Av & Bradford St ,0.00
6744 BUSTLETON AVE,Bustleton Av & Harbison Av - FS,0.00
6700 BUSTLETON AVE,Bustleton Av & Unruh Av,0.00
6601 EASTWOOD ST,Magee Av & Eastwood St ,0.00
6601 HORROCKS ST,Magee Av & Horrocks St ,0.00
6601 LARGE ST,Magee Av & Large St ,0.00
6601-19 CASTOR AVE,Magee Av & Castor Av ,0.00
1301 MAGEE AVE,Magee Av & Frontenac St ,0.00
1201 MAGEE AVE,Magee Av & Summerdale Av ,0.00
1036 MAGEE AVE,Algon Av & Magee Av - FS,0.00
6500 ALGON AVE,Algon Av & Hellerman St ,0.00
6402 ALGON AVE,Algon Av & Levick St ,0.00
919 LEVICK ST,Levick St & Oxford Av - MBNS,0.00
6401 OXFORD AVE,Levick St & Oxford Av,0.00
6401 MARTINS MILL RD,Levick St & Martins Mill Rd ,0.00
6819 RISING SUN AVE,Rising Sun Av & Longshore Av,0.00
6921 RISING SUN AVE,Rising Sun Av & Tyson Av,0.00
7135 RISING SUN AVE,Rising Sun Av & Saint Vincent St,0.00
6300 TABOR AVE,Tabor Av & Robbins Av,0.00
7275 RISING SUN AVE,Rising Sun Av & Cottman Av,0.00
7353 OXFORD AVE,Oxford Av & Bleigh Av ,0.00
7435 OXFORD AVE,Oxford Av & Verree Rd - MBNS,0.00
7517-27 OXFORD AVE,Oxford Av & Rockwell Av,0.00
7749 OXFORD AVE,Oxford Av & Rockwell Av - MBFS,0.00
7801 OXFORD AVE,Oxford Av & Hartel Av - FS,0.00
7855 OXFORD AVE,Oxford Av & Hasbrook Av,0.00
6200 TABOR AVE,Tabor Av & Devereaux Av,0.00
6100 TABOR AVE,Tabor Av & Benner St ,0.00
6000-30 TABOR AVE,Tabor Av & Comly St ,0.00
5900 TABOR AVE,Tabor Av & Van Kirk St ,0.00
655 E CHELTENHAM AVE,Tabor Av & Cheltenham Av ,0.00
653 SANGER ST,Tabor Av & Sanger St ,0.00
659 E GODFREY AVE,Tabor Av & Godfrey Av ,0.00
5500-62 TABOR AVE,Tabor Av & Harrison St ,0.00
5400 TABOR AVE,Tabor Av & Foulkrod St,0.00
5300 E TABOR RD,Tabor Av & Adams Av ,0.00
5153 E TABOR RD,Tabor Av & Garland St ,0.00
3900 E ROOSEVELT BLVD,Tabor Av & Olney Av ,0.00
600 E OLNEY AVE,Olney Av & Clarkson Av ,0.00
341 E OLNEY AVE,Olney Av & Arbor St,0.00
101 E OLNEY AVE,Olney Av & Front St ,0.00
161 W OLNEY AVE,Olney Av & Mascher St ,0.00
5601 N 11TH ST,Olney Av & 11th St ,0.00
5601 N 12TH ST,Olney Av & 12th St ,0.00
5601 N BROAD ST,Olney Av & Broad St,0.00
1455 W OLNEY AVE,Olney Av & 15th St ,0.00
5601 N 16TH ST,Olney Av & 16th St ,0.00
5650 N 16TH ST,Olney Av & Ogontz Av,0.00
1803 W OLNEY AVE,Olney Av & 18th St - FS,0.00
1923 W OLNEY AVE,Olney Av & 20th St ,0.00
2006-50 W OLNEY AVE,Olney Av & 20st St - MBFS,0.00
2128 W CHEW AVE,Olney Av & Chew Av,0.00
5305-59 CHEW AVE,Olney Av & Penn Blvd - FS,0.00
5361-91 CHEW AVE,Chew Av & Church Ln ,0.00
701-15 E CHELTEN AVE,Chelten Av & McMahon St ,0.00
601-05 E CHELTEN AVE,Chelten Av & Musgrave St ,0.00
501 E CHELTEN AVE,Chelten Av & Magnolia St ,0.00
427-43 E CHELTEN AVE,Chelten Av & Morton St ,0.00
301-31 E CHELTEN AVE,Chelten Av & Baynton St ,0.00
117-19 E CHELTEN AVE,Chelten Av & Lena St ,0.00
29-79 E CHELTEN AVE,Chelten Av & Kenyon St ,0.00
137 W CHELTEN AVE,Chelten Av & Knox St ,0.00
243-45 W CHELTEN AVE,Chelten Av & Pulaski Av ,0.00
201-11 S BROAD ST,Broad St & Walnut St,0.00
1726-32 ARCH ST,18th St & Arch St,0.00
200 N 18TH ST,18th St & Vine St ,0.00
1901 VINE ST,Vine St & 20th St,0.00
2025L BENJAMIN FRANKLIN PKWY,Ben Franklin Pkwy & 21th St,0.00
2100 BENJAMIN FRANKLIN PKWY,Ben Franklin Pkwy & 22nd St,0.00
2201 PENNSYLVANIA AVE,Pennsylvania Av & Spring Garden St,0.00
2601 PENNSYLVANIA AVE,Pennsylvania Av & 27th St - MBNS,0.00
2955 POPLAR ST,Poplar St & 30th St,0.00
1641-45 N 33RD ST,33th St & Cecil B Moore Av,0.00
1753 N 33RD ST,33th St & Montgomery Av,0.00
950 NORTHWESTERN AVE,Germantown Pk & Crescent Av ,0.01
950 NORTHWESTERN AVE,Germantown Pk & Westaway Dr ,0.02
950 NORTHWESTERN AVE,Germantown Pk & Chestnut St ,0.02
950 NORTHWESTERN AVE,Germantown Pk & Warner Rd,0.02
950 NORTHWESTERN AVE,Germantown Pk & Joshua Rd - FS,0.03
950 NORTHWESTERN AVE,Germantown Pk & Fairway Rd ,0.03
950 NORTHWESTERN AVE,Germantown Pk & Colonial Dr - MBFS,0.04
950 NORTHWESTERN AVE,Germantown Pk & Mayflower Rd ,0.04
950 NORTHWESTERN AVE,GermantownPk & Meetinghouse Rd,0.04
950 NORTHWESTERN AVE,Germantown Pk & Marple Ln ,0.04
4700-08 N BROAD ST,Broad St & Wyoming Av ,0.00
4544 N BROAD ST,Broad St & Belfield Av - FS,0.00
4500 N BROAD ST,Broad St & Wingohocking St,0.00
950 NORTHWESTERN AVE,Germantown Pk & Butler Pk - FS,0.05
950 NORTHWESTERN AVE,Germantown Pk & Chemical Rd ,0.05
4322-40 N BROAD ST,Broad St & Saint Lukes St - MBFS,0.00
4100 N BROAD ST,Broad St & Lycoming St,0.00
3900 N BROAD ST,Broad St & Pike St,0.00
3800-08 N BROAD ST,Broad St & Butler St,0.00
1849 N 33RD ST,33rd St & Berks St,0.00
1947 N 33RD ST,33rd St & Norris St,0.00
3230-38 DIAMOND ST,33rd St & Diamond St,0.00
2137 N 33RD ST,33rd St & Susquehanna Av ,0.00
3250 RIDGE AVE,33rd St & Dauphin St - FS,0.00
2401 N 33RD ST,33rd St & York St - FS,0.00
2461-63 N 33RD ST,33rd St & Cumberland St,0.00
2559 N 33RD ST,33rd St & Huntingdon St,0.00
3250 W LEHIGH AVE,33rd St & Lehigh Av,0.00
2668 N 31ST ST,Lehigh Av & 31st St,0.00
2805 N 29TH ST,29th St & Chalmers Av - FS,0.00
3100 N 29TH ST,Clearfield St & 29th St - FS,0.00
2949 W CLEARFIELD ST,Clearfield St & 30th St,0.00
3102-18 W ABBOTTSFORD AVE,Henry Av & Roberts Av - MBFS,0.00
3102-18 W ABBOTTSFORD AVE,Henry Av & Abbottsford Av ,0.00
3300 FOX ST,Henry Av & Indian Queen Ln - MBNS,0.00
3300 FOX ST,Henry Av & Bowman St,0.00
3300 FOX ST,Henry Av & Ainslie St,0.00
3300 FOX ST,Henry Av & Queen Ln,0.00
3201-45 MIDVALE AVE,Henry Av & Coulter St,0.00
3242-50 W SCHOOL HOUSE LN,Henry Av & School House Ln ,0.00
639 WALNUT LN,Henry Av & Hermit St,0.00
639 WALNUT LN,Henry Av & Markle St,0.00
640 W WALNUT LN,Henry Av & Wendover,0.00
601 JAMESTOWN AVE,Henry Av & Jamestown St,0.00
5825 HENRY AVE,Henry Av & Rector St,0.00
5902 HENRY AVE,Roxborough Av & Henry Av - FS,0.00
600 ROXBOROUGH AVE,Roxborough Av & Houghton St,0.00
5901-09 RIDGE AVE,Roxborough Av & Ridge Av ,0.00
5911 RIDGE AVE,Ridge Av & Gerhard St,0.00
5959-63 RIDGE AVE,Ridge Av & Monastery Av ,0.00
433 LYCEUM AVE,Lyceum Av & Mitchell St,0.00
389 LYCEUM AVE,Lyceum Av & Pechin St,0.00
353 LYCEUM AVE,Manayunk Av & Lyceum Av,0.00
3715 MAIN ST,Main St & Sumac St - FS,0.00
3791 MAIN ST,Main St & Haines St ,0.00
4045-61 MAIN ST,Main St & Shurs Ln,0.00
4137-41 MAIN ST,Main St & Jamestown St ,0.00
4169 MAIN ST,Main St & Pensdale St ,0.00
4247 MAIN ST,Main St & Rector St ,0.00
4319 MAIN ST,Main St & Cotton St ,0.00
4375 MAIN ST,Main St & Levering St ,0.00
4457-59 MAIN ST,Main St &  Green Ln ,0.00
4663 UMBRIA ST,Umbria St & Hermitage St ,0.00
3200-04 W DAUPHIN ST,Dauphin St & 32nd St,0.00
5649 N 11TH ST,Chew Av & 11th St - FS,0.00
5652 N 10TH ST,Chew Av & 10th St,0.00
4745 UMBRIA ST,Umbria St &  Fountain St ,0.00
4353 MANAYUNK AVE,Manayunk Av & Monastery Av,0.00
1001 W TABOR RD,10th St & Tabor Rd,0.00
1000 W TABOR RD,10th St & Clarkson Av,0.00
1047 WAGNER AVE,Wagner Av & Warnock St - FS,0.00
1080-82 WAGNER AVE,10th St & Wagner Av - FS,0.00
6247 RIDGE AVE,Ridge Av & Hermitage St ,0.00
501 ACORN ST,Ridge Av & Acorn St ,0.00
6701 RIDGE AVE,Ridge Av & Cinnaminson St ,0.00
5254 N 10TH ST,10th St & Fisher Av - FS,0.00
6761-63 RIDGE AVE,Ridge Av & Fairthorne Av ,0.00
1001 W DUNCANNON AVE,10th St & Duncannon Av,0.00
7001 RIDGE AVE,Ridge Av & Paoli Av ,0.00
7135 RIDGE AVE,Ridge Av & Domino Ln - 2,0.00
3600-12 GERMANTOWN AVE,Germantown Av & Venango St ,0.00
7563 RIDGE AVE,Ridge Av & Flamingo St ,0.00
3500-02 GERMANTOWN AVE,Germantown Av & Tioga St ,0.00
7729 RIDGE AVE,Ridge Av & Shawmont Av ,0.00
7841 RIDGE AVE,Ridge Av & Aurania St ,0.00
3300 GERMANTOWN AVE,Germantown Av & Westmoreland St,0.00
3200-02 GERMANTOWN AVE,Germantown Av & Allegheny Av ,0.00
705 CATHEDRAL RD,Cathedral Rd & Ridge Av - FS,0.00
701 CATHEDRAL RD,Cathedral Rd & Brierdale Rd ,0.00
815-23 CATHEDRAL RD,Cathedral Rd & Tiona St ,0.00
829 CATHEDRAL RD,Cathedral Rd & Old Line Rd ,0.00
847 CATHEDRAL RD,Cathedral Rd & Sagamore Rd ,0.00
3017-53 N 12TH ST,Germantown Av & Glenwood Av ,0.00
3000 GERMANTOWN AVE,Germantown Av & Indiana Av ,0.00
2900 GERMANTOWN AVE,Germantown Av & Cambria St ,0.00
2800-06 GERMANTOWN AVE,Germantown Av & Somerset St ,0.00
2600-02 GERMANTOWN AVE,Germantown Av & Huntingdon St ,0.00
2500 N 10TH ST,10th St & Cumberland St ,0.00
2411-43 N 11TH ST,10th St & York St ,0.00
2302 N 10TH ST,10th St & Dauphin St ,0.00
2200 N 10TH ST,10th St & Susquehanna Av ,0.00
1200 W SUSQUEHANNA AVE,12th St & Susquehanna Av - FS,0.00
1201 DIAMOND ST,12th St & Diamond St ,0.00
2001-59 N 13TH ST,12th St & Norris St ,0.00
1901-59 N 13TH ST,12th St & Berks St ,0.00
1801-59 N 13TH ST,12th St & Montgomery Av ,0.00
1701-11 N 13TH ST,12th St & Cecil B Moore Av ,0.00
1201 W OXFORD ST,12th St & Oxford St,0.00
1201 JEFFERSON ST,12th St & Jefferson St ,0.00
1201 MASTER ST,12th St & Master St ,0.00
1300 N 12TH ST,12th St & Thompson St ,0.00
900 N 12TH ST,12th St & Poplar St ,0.00
1201-07 PARRISH ST,12th St & Parrish St ,0.00
800 1/2 N 12TH ST,12th St & Brown St ,0.00
1221 FAIRMOUNT AVE,12th St & Fairmount Av,0.00
1200-38 FAIRMOUNT AVE,12th St & Wallace St ,0.00
1201 GREEN ST,12th St & Green St ,0.00
520 N 12TH ST,12th St & Ridge Av ,0.00
500-10 N 12TH ST,12th St & Buttonwood St,0.00
430 N 12TH ST,12th St & Noble St,0.00
1201-15 CALLOWHILL ST,12th St & Callowhill St ,0.00
1201 VINE ST,12th St & Vine St ,0.00
1201-05 RACE ST,12th St & Race St ,0.00
1201 ARCH ST,12th St & Arch St ,0.00
1201-05 CHESTNUT ST,12th St & Chestnut St,0.00
1201 WALNUT ST,12th St & Walnut St,0.00
1001 LINDLEY AVE,10th St & Lindley Av,0.00
5000 N 10TH ST,10th St & Ruscomb St,0.00
1001 W ROCKLAND ST,10th St & Rockland St,0.00
4712-64 N 9TH ST,9th St & Loudon St - FS,0.00
4712-64 N 9TH ST,9th St & Wyoming Av,0.00
4600-50 N 9TH ST,9th St & Courtland St,0.00
4101 OLD YORK RD,9th St & Wingohocking St - FS,0.00
4101 OLD YORK RD,9th St & Cayuga St,0.00
848 GRAKYN LN,Grakyn Ln & Wissahickon Av - FS,0.00
836 GRAKYN LN,Grakyn Ln & Sagamore Rd - FS,0.00
826 GRAKYN LN,Grakyn Ln & Old Line Rd ,0.00
834 CATHEDRAL RD,Old Line Rd & Cathedral Rd ,0.00
8601 TIONA ST,Cathedral Rd & Tiona St ,0.00
4101 OLD YORK RD,9th St & Bristol St - FS,0.00
4101 OLD YORK RD,9th St & Hunting Park Av,0.00
4101 OLD YORK RD,9th St & Lycoming St,0.00
3956 N 9TH ST,9th St & Luzerne St - FS,0.00
3856 N 9TH ST,9th St & Pike St - FS,0.00
901 W BUTLER ST,9th St & Butler St,0.00
3619-21 N 9TH ST,Rising Sun Av & 9th St,0.00
1038 W TIOGA ST,Rising Sun Av &  11th St,0.00
3401 OLD YORK RD,Rising Sun Av & Old York Rd,0.00
1214-22 W ONTARIO ST,Rising Sun Av & Germantown Av - FS,0.00
800-02 CATHEDRAL RD,Cathedral Rd & Brierdale Rd ,0.00
700-50 CATHEDRAL RD,Cathedral Rd & Ridge Av ,0.00
494 EVERGREEN AVE,Ridge Av & Evergreen Av ,0.00
496 AURANIA ST,Ridge Av & Aurania St,0.00
7800 RIDGE AVE,Ridge Av & Shawmont Av ,0.00
7558 RIDGE AVE,Ridge Av & Flamingo St ,0.00
490 WIGARD AVE,Ridge Av & Wigard Av ,0.00
6742-50 RIDGE AVE,Ridge Av & Fairthorne Av - MBFS,0.00
6710 RIDGE AVE,Ridge Av & Cinnaminson St ,0.00
6200-08 RIDGE AVE,Ridge Av & Leverington Av ,0.00
5504 RIDGE AVE,Ridge Av & Hermit St,0.00
6012 RIDGE AVE,Ridge Av & Monastary Av ,0.00
5950 RIDGE AVE,Ridge Av & Gerhard St,0.00
5900-10 RIDGE AVE,Ridge Av & Roxborough Av,0.00
4301 MITCHELL ST,Roxborough Av & Mitchell St ,0.00
400 ROXBOROUGH AVE,Roxborough Av & Pechin St ,0.00
4301 MANAYUNK AVE,Roxborough Av & Manayunk Av ,0.00
365 GREEN LN,Manayunk Av & Green Ln,0.00
350 GREEN LN,Manayunk Av & Dupont St ,0.00
4557 MANAYUNK AVE,Manayunk Av & Krams St ,0.00
4583 MANAYUNK AVE,Manayunk Av & Leverington Av ,0.00
4322 MAIN ST,Main St & Cotton St ,0.00
4250 MAIN ST,Main St & Rector St ,0.00
4202-10 MAIN ST,Main St & Pensdale St ,0.00
4120 MAIN ST,Main St & Jamestown St ,0.00
4100 MAIN ST,Main St & Shurs Ln,0.00
3900 MAIN ST,Main St & Hermit St,0.00
3133 RIDGE AVE,Dauphin St & 31st St ,0.00
3000 W DAUPHIN ST,Dauphin St & 30th St,0.00
2248-50 N 29TH ST,Dauphin St & 29th St,0.00
2800 W DAUPHIN ST,Dauphin St & 28th St ,0.00
2201-51 N 28TH ST,Dauphin St & 27th St ,0.00
2252 N 26TH ST,Dauphin St & 26th St ,0.00
2200-08 N 25TH ST,Dauphin St & 25th St,0.00
2200-26 N 22ND ST,Dauphin St & Glenwood Av,0.00
2264 N 21ST ST,Dauphin St & 21st St,0.00
2260-62 N 20TH ST,Dauphin St & 20th St,0.00
2268 N 19TH ST,Dauphin St & 19th St,0.00
2266 N 18TH ST,Dauphin St & 18th St ,0.00
2266 N 17TH ST,Dauphin St & 17th St,0.00
2266 N 16TH ST,Dauphin St & 16th St,0.00
2264 N 15TH ST,Dauphin St & 15th St,0.00
2212-60 N 13TH ST,Dauphin St & 13th St,0.00
1200 W DAUPHIN ST,Dauphin St & 12th St,0.00
2254 N 11TH ST,Dauphin St & 11th St,0.00
2260 N 10TH ST,Dauphin St & 10th St,0.00
900 W DAUPHIN ST,Dauphin St & 9th St,0.00
2200 N 8TH ST,Dauphin St & 8th St,0.00
600-20 W DAUPHIN ST,Dauphin St & 6th St ,0.00
2250-64 N 5TH ST,Dauphin St & 5th St ,0.00
2457 N 5TH ST,5th St & Cumberland St ,0.00
6200-06 N 5TH ST,5th St & Godfrey Av,0.00
6100-02 N 5TH ST,5th St & Spencer St ,0.00
6000 N 5TH ST,5th St & Champlost St ,0.00
5900 N 5TH ST,5th St & Nedro Av ,0.00
5800 N 5TH ST,5th St & Grange St ,0.00
5700 N 5TH ST,5th St & Chew St ,0.00
5600-02 N 5TH ST,5th St & Olney Av ,0.00
5450 N 5TH ST,5th St & Tabor Rd ,0.00
5400 N 5TH ST,5th St & Somerville Av ,0.00
5300-02 N 5TH ST,5th St & Fisher Av ,0.00
501 W DUNCANNON AVE,5th St & Duncannon Av ,0.00
5100-02 N 5TH ST,5th St & Lindley Av ,0.00
4900 N 5TH ST,5th St & Rockland St ,0.00
4800 N 5TH ST,5th St & Loudon St ,0.00
4530 N 5TH ST,5th St & Annsbury St ,0.00
4400-22 N 5TH ST,5th St & Cayuga St ,0.00
4300-10 N 5TH ST,5th St & Bristol St ,0.00
4200-24 N 5TH ST,5th St & Hunting Park Av ,0.00
4100 N 5TH ST,5th St & Lycoming St ,0.00
4000-02 N 5TH ST,5th St & Luzerne St ,0.00
3900 N 5TH ST,5th St &  Pike St ,0.00
601 W VENANGO ST,6th St & Venango St,0.00
3500 N 6TH ST,6th St & Tioga St ,0.00
3308 N 6TH ST,6th St & Glenwood Av ,0.00
3164 N 6TH ST,6th St & Allegheny Av ,0.00
3000 N 6TH ST,6th St & Indiana Av ,0.00
2900 N 6TH ST,6th St & Cambria St ,0.00
601 W LEHIGH AVE,6th St & Lehigh Av ,0.00
2600 N 6TH ST,6th St & Huntingdon St ,0.00
2400 N 6TH ST,6th St & York St ,0.00
601-25 W DAUPHIN ST,6th St & Dauphin St ,0.00
601 W SUSQUEHANNA AVE,6th St & Susquehanna Av ,0.00
2000 N 8TH ST,8th St & Norris St ,0.00
805 W BERKS ST,8th St & Berks St,0.00
1801-63 N 9TH ST,8th St & Montgomery Av ,0.00
1725-51 N 9TH ST,8th St & Cecil B Moore Av ,0.00
1600-22 N 8TH ST,8th St & Oxford St ,0.00
1500 N 8TH ST,8th St & Jefferson St ,0.00
1400-20 N 8TH ST,8th St & Master St ,0.00
720 W THOMPSON ST,Thompson St & Franklin St,0.00
719-99 W GIRARD AVE,Franklin St & Girard Av ,0.00
900-18 N 8TH ST,8th St & Poplar St ,0.00
800 N 8TH ST,8th St & Brown St ,0.00
642 N 8TH ST,8th St & Wallace St,0.00
600 N 8TH ST,8th St & Green St ,0.00
801 CHERRY ST,8th St & Cherry St ,0.00
801 ARCH ST,8th St & Arch St ,0.00
801-17 CHESTNUT ST,8th St & Chestnut St ,0.00
140-42 S 8TH ST,8th St & Walnut St ,0.00
801-29 LOCUST ST,8th St & Locust St ,0.00
801-21 SPRUCE ST,8th St & Spruce St ,0.00
801-49 PINE ST,8th St & Pine St ,0.00
801 LOMBARD ST,8th St & Lombard St,0.00
801 SOUTH ST,8th St & South St ,0.00
732-34 S 8TH ST,8th St & Fitzwater St ,0.00
772 S 8TH ST,8th St & Catharine St ,0.00
801 CHRISTIAN ST,8th St & Christian St,0.00
944-46 S 8TH ST,8th St & Carpenter St ,0.00
1158 S 8TH ST,8th St & Federal St ,0.00
1236 S 8TH ST,8th St & Wharton St ,0.00
1336 S 8TH ST,8th St & Reed St ,0.00
1446 S 8TH ST,8th St & Dickinson St ,0.00
1540 S 8TH ST,8th St & Tasker St ,0.00
1638 S 8TH ST,8th St & Morris St ,0.00
1740 S 8TH ST,8th St & Moore St ,0.00
801 MCKEAN ST,8th St & McKean St ,0.00
2140 S 8TH ST,8th St & Jackson St ,0.00
2226-50 S 8TH ST,8th St & Wolf St,0.00
2344 S 8TH ST,8th St & Ritner St ,0.00
801 PORTER ST,8th St & Porter St ,0.00
2550 S 8TH ST,8th St & Shunk St ,0.00
2601-61 N LAWRENCE ST,Lehigh Av & 4th St,0.00
260 W LEHIGH AVE,American St & Lehigh Av - FS,0.00
2500-26 N AMERICAN ST,American St & Cumberland St ,0.00
2400-10 N AMERICAN ST,American St & York St ,0.00
2263 N 2ND ST,Dauphin St & Palethorp St ,0.00
2262 N HANCOCK ST,Dauphin St & Hancock St ,0.00
138 W DAUPHIN ST,Dauphin St & Mascher St ,0.00
1900 E YORK ST,Jasper St & York St,0.00
1900 E CUMBERLAND ST,Jasper St & Cumberland St,0.00
2480 EMERALD ST,Cumberland St & Emerald St,0.00
2038-48 E CUMBERLAND ST,Cumberland St & Coral St,0.00
2088 E CUMBERLAND ST,Cumberland St & Amber St,0.00
2480 FRANKFORD AVE,Cumberland St & Frankford Av,0.00
2148 E CUMBERLAND ST,Cumberland St & Trenton Av,0.00
2180 E CUMBERLAND ST,Cumberland St & Sepviva St,0.00
2226 E CUMBERLAND ST,Cumberland St & Tulip St,0.00
2330 E CUMBERLAND ST,Cumberland St & Memphis St,0.00
2370 E CUMBERLAND ST,Cumberland St & Cedar St,0.00
2446 E CUMBERLAND ST,Cumberland St & Gaul St,0.00
2472 ALMOND ST,Cumberland St & Almond St,0.00
2638-48 E CUMBERLAND ST,Cumberland St & Aramingo Av,0.00
2733 E HUNTINGDON ST,Huntingdon St & Emery St,0.00
2701 E HUNTINGDON ST,Huntingdon St & Edgemont St,0.00
2639 E HUNTINGDON ST,Huntingdon St & Thompson St,0.00
2601 BELGRADE ST,Huntingdon St & Aramingo Av,0.00
2600 ARAMINGO AVE,Huntingdon St & Moyer St,0.00
2401 E HUNTINGDON ST,Huntingdon St & Cedar St,0.00
2601 MEMPHIS ST,Huntingdon St & Memphis St,0.00
2601 TULIP ST,Huntingdon St & Tulip St,0.00
8031 RIDGE AVE,Ridge Av & Summit Av,0.00
2201 E HUNTINGDON ST,Huntingdon St & Sepviva St,0.00
2601 TRENTON AVE,Huntingdon St & Trenton Av,0.00
2601 FRANKFORD AVE,Huntingdon St & Frankford Av,0.00
2031 E HUNTINGDON ST,Huntingdon St & Coral St,0.00
2601-13 EMERALD ST,Huntingdon St & Emerald St,0.00
1901 E HUNTINGDON ST,Huntingdon St & Jasper St,0.00
1801 E HUNTINGDON ST,Huntingdon St & Kensington Av,0.00
2500-02 KENSINGTON AVE,Kensington Av & Cumberland St ,0.00
2201 MASCHER ST,Susquehanna Av & Mascher St ,0.00
157-59 W SUSQUEHANNA AVE,Susquehanna Av & Hancock St ,0.00
2201 N 2ND ST,Susquehanna Av & 2nd St ,0.00
2201-05 N AMERICAN ST,Susquehanna Av & American St ,0.00
2200 N AMERICAN ST,Susquehanna Av & 3rd St,0.00
329 W SUSQUEHANNA AVE,Susquehanna Av & 4th St,0.00
2201 N 5TH ST,Susquehanna Av & 5th St,0.00
2200-16 N FAIRHILL ST,Susquehanna Av & 6th St ,0.00
2200 N 8TH ST,Susquehanna Av & 9th St ,0.00
2201 N 10TH ST,Susquehanna Av & 10th St ,0.00
2201 N 11TH ST,Susquehanna Av & 11th St,0.00
1101 W SUSQUEHANNA AVE,Susquehanna Av & 12th St ,0.00
2201-65 N 13TH ST,Susquehanna Av & 13th St,0.00
1421 W SUSQUEHANNA AVE,Susquehanna Av & 15th St,0.00
2201 N 16TH ST,Susquehanna Av & 16th St,0.00
1643 W SUSQUEHANNA AVE,Susquehanna Av & 17th St,0.00
2201 N 18TH ST,Susquehanna Av & 18th St,0.00
2201 N 19TH ST,Susquehanna Av & 19th St,0.00
2201-41 N 20TH ST,Susquehanna Av & 20th St,0.00
2039 W SUSQUEHANNA AVE,Susquehanna Av & 21st St ,0.00
7902-18 OXFORD AVE,Oxford Av & Borbeck Av,0.00
7830 OXFORD AVE,Oxford Av & Hartel Av ,0.00
7773 HASBROOK AVE,Oxford Av & Hartel Av - MBFS,0.00
2300-14 W SEDGLEY AVE,York St & Sedgley Av,0.00
2331 W YORK ST,York St & 24th St,0.00
2427-35 W YORK ST,York St & 25th St,0.00
2535 W YORK ST,York St & 26th St,0.00
2705 W YORK ST,York St & 27th St - FS,0.00
2745 W YORK ST,York St & 28th St ,0.00
2401-11 N 29TH ST,York St & 29th St ,0.00
2401 N 30TH ST,York St & 30th St ,0.00
3043 W YORK ST,York St & 31st St ,0.00
2401 N 32ND ST,York St & 32nd St ,0.00
7800 CITY AVE,Aronimink Station,0.04
3890 N 10TH ST,10th St & Pike St,0.00
3800 N 10TH ST,10th St & Butler St ,0.00
1001 W ERIE AVE,10th St & Erie Av,0.00
1107-13 W ERIE AVE,Erie Av & 11th St,0.00
1243 W ERIE AVE,Erie Av & 13th St,0.00
7800 CITY AVE,Aronimink Station,0.04
9663 PINE RD,Moreland Rd & Kimball Av ,0.09
3454-58 W CHELTENHAM AVE,Welsh Rd & Computer Av - FS,0.08
3454-58 W CHELTENHAM AVE,Welsh Rd & Dryden Rd - MBNS,0.08
3454-58 W CHELTENHAM AVE,Dresher Rd & Welsh Rd - MBFS,0.08
3755 PULASKI AVE,Pulaski Av & 17th St ,0.00
3825 PULASKI AVE,Pulaski Av & 18th St,0.00
3454-58 W CHELTENHAM AVE,Dresher Rd & Walnut Grove Dr ,0.09
3454-58 W CHELTENHAM AVE,Dresher Rd & Witmer Rd ,0.09
3901-61 N 18TH ST,18th St & Hunting Park Av,0.00
4180 NEWHALL ST,Clarissa St & Juniata St,0.00
1952-54 W BRISTOL ST,Clarissa St & Bristol St,0.00
9620 PINE RD,Dresher Rd & Witmer Rd - MBFS,0.11
3454-58 W CHELTENHAM AVE,Electronic Dr & Welsh Rd - MBNS,0.08
9620 PINE RD,Prudential Rd & Gibralter Rd - FS,0.10
9620 PINE RD,Prudential Rd & Lakeside Dr ,0.10
9620 PINE RD,Blair Mill Rd & Witmer Rd - 1 MBFS,0.10
3454-58 W CHELTENHAM AVE,Blair Mill Rd & Welsh Rd - MBNS,0.08
7700 OXFORD AVE,Oxford Av & Rockwell Av ,0.00
7400 OXFORD AVE,Oxford Av & Bleigh Av ,0.00
7300 RISING SUN AVE,Rising Sun Av & Cottman Av ,0.00
7200 RISING SUN AVE,Rising Sun Av & Saint Vincent St,0.00
7100 RISING SUN AVE,Rising Sun Av & Princeton Av,0.00
7000 RISING SUN AVE,Rising Sun Av & Tyson Av,0.00
6900 RISING SUN AVE,Rising Sun Av & Longshore Av,0.00
6700 RISING SUN AVE,Rising Sun Av & Unruh Av,0.00
6600 RISING SUN AVE,Rising Sun Av & Magee Av ,0.00
130 BERKLEY ST,Wayne Av & Berkley St,0.00
4537 WAYNE AVE,Wayne Av & Apsley St,0.00
4631 WAYNE AVE,Wayne Av & Abbottsford Av,0.00
4849-53 WAYNE AVE,Wayne Av & Logan St,0.00
4949 WAYNE AVE,Wayne Av & Seymour St,0.00
