geoid,geoname,total
421010367002008,"Block 2008, Block Group 2, Census Tract 367, Philadelphia County, Pennsylvania",109
421010372004003,"Block 4003, Block Group 4, Census Tract 372, Philadelphia County, Pennsylvania",130
421010373003006,"Block 3006, Block Group 3, Census Tract 373, Philadelphia County, Pennsylvania",0
421010266001001,"Block 1001, Block Group 1, Census Tract 266, Philadelphia County, Pennsylvania",69
421010019003013,"Block 3013, Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",39
421010078002005,"Block 2005, Block Group 2, Census Tract 78, Philadelphia County, Pennsylvania",0
421010079004003,"Block 4003, Block Group 4, Census Tract 79, Philadelphia County, Pennsylvania",117
421010018001018,"Block 1018, Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",55
421010074002012,"Block 2012, Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",4
421010077001006,"Block 1006, Block Group 1, Census Tract 77, Philadelphia County, Pennsylvania",0
421010140002007,"Block 2007, Block Group 2, Census Tract 140, Philadelphia County, Pennsylvania",16
421010141001023,"Block 1023, Block Group 1, Census Tract 141, Philadelphia County, Pennsylvania",1
421010183003011,"Block 3011, Block Group 3, Census Tract 183, Philadelphia County, Pennsylvania",30
421010184002000,"Block 2000, Block Group 2, Census Tract 184, Philadelphia County, Pennsylvania",0
421010266003014,"Block 3014, Block Group 3, Census Tract 266, Philadelphia County, Pennsylvania",111
421010267003002,"Block 3002, Block Group 3, Census Tract 267, Philadelphia County, Pennsylvania",132
421010268003005,"Block 3005, Block Group 3, Census Tract 268, Philadelphia County, Pennsylvania",122
421010024003015,"Block 3015, Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",15
421010082003005,"Block 3005, Block Group 3, Census Tract 82, Philadelphia County, Pennsylvania",160
421010021002011,"Block 2011, Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",64
421010023002003,"Block 2003, Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",109
421010143001023,"Block 1023, Block Group 1, Census Tract 143, Philadelphia County, Pennsylvania",104
421010144001006,"Block 1006, Block Group 1, Census Tract 144, Philadelphia County, Pennsylvania",38
421010190004001,"Block 4001, Block Group 4, Census Tract 190, Philadelphia County, Pennsylvania",119
421010191002000,"Block 2000, Block Group 2, Census Tract 191, Philadelphia County, Pennsylvania",145
421010270002014,"Block 2014, Block Group 2, Census Tract 270, Philadelphia County, Pennsylvania",89
421010272003004,"Block 3004, Block Group 3, Census Tract 272, Philadelphia County, Pennsylvania",214
421010316005000,"Block 5000, Block Group 5, Census Tract 316, Philadelphia County, Pennsylvania",137
421010317002011,"Block 2011, Block Group 2, Census Tract 317, Philadelphia County, Pennsylvania",171
421010318001010,"Block 1010, Block Group 1, Census Tract 318, Philadelphia County, Pennsylvania",87
