geoid,geoname,total
42000700,"Census Tract 7, Lehigh County, Pennsylvania",4222
42000800,"Census Tract 8, Lehigh County, Pennsylvania",4322
42000900,"Census Tract 9, Lehigh County, Pennsylvania",1994
42001000,"Census Tract 10, Lehigh County, Pennsylvania",3279
42001200,"Census Tract 12, Lehigh County, Pennsylvania",2324
42001401,"Census Tract 14.01, Lehigh County, Pennsylvania",8022
42001402,"Census Tract 14.02, Lehigh County, Pennsylvania",2259
42001501,"Census Tract 15.01, Lehigh County, Pennsylvania",7159
42001502,"Census Tract 15.02, Lehigh County, Pennsylvania",7566
42001600,"Census Tract 16, Lehigh County, Pennsylvania",3742
42001700,"Census Tract 17, Lehigh County, Pennsylvania",5039
42001800,"Census Tract 18, Lehigh County, Pennsylvania",5086
42001900,"Census Tract 19, Lehigh County, Pennsylvania",4633
42002000,"Census Tract 20, Lehigh County, Pennsylvania",5857
42002100,"Census Tract 21, Lehigh County, Pennsylvania",7406
42002201,"Census Tract 22.01, Lehigh County, Pennsylvania",4759
42002202,"Census Tract 22.02, Lehigh County, Pennsylvania",4023
42002302,"Census Tract 23.02, Lehigh County, Pennsylvania",3216
42002303,"Census Tract 23.03, Lehigh County, Pennsylvania",2769
42002304,"Census Tract 23.04, Lehigh County, Pennsylvania",4509
42005100,"Census Tract 51, Lehigh County, Pennsylvania",4283
42005200,"Census Tract 52, Lehigh County, Pennsylvania",6551
42005301,"Census Tract 53.01, Lehigh County, Pennsylvania",3324
42005302,"Census Tract 53.02, Lehigh County, Pennsylvania",4232
42005401,"Census Tract 54.01, Lehigh County, Pennsylvania",2292
42005402,"Census Tract 54.02, Lehigh County, Pennsylvania",4976
42005503,"Census Tract 55.03, Lehigh County, Pennsylvania",4166
42003802,"Census Tract 38.02, Lebanon County, Pennsylvania",5314
42005504,"Census Tract 55.04, Lehigh County, Pennsylvania",4595
42005505,"Census Tract 55.05, Lehigh County, Pennsylvania",3210
42005506,"Census Tract 55.06, Lehigh County, Pennsylvania",3684
42005601,"Census Tract 56.01, Lehigh County, Pennsylvania",5365
42005602,"Census Tract 56.02, Lehigh County, Pennsylvania",5423
42005702,"Census Tract 57.02, Lehigh County, Pennsylvania",4747
42005703,"Census Tract 57.03, Lehigh County, Pennsylvania",3990
42002701,"Census Tract 27.01, Philadelphia County, Pennsylvania",4200
42002702,"Census Tract 27.02, Philadelphia County, Pennsylvania",4268
42002801,"Census Tract 28.01, Philadelphia County, Pennsylvania",4364
42002802,"Census Tract 28.02, Philadelphia County, Pennsylvania",5375
42002900,"Census Tract 29, Philadelphia County, Pennsylvania",4351
42003001,"Census Tract 30.01, Philadelphia County, Pennsylvania",4188
42003002,"Census Tract 30.02, Philadelphia County, Pennsylvania",3529
42003100,"Census Tract 31, Philadelphia County, Pennsylvania",5089
42003200,"Census Tract 32, Philadelphia County, Pennsylvania",4511
42003300,"Census Tract 33, Philadelphia County, Pennsylvania",6307
42003600,"Census Tract 36, Philadelphia County, Pennsylvania",6571
42003701,"Census Tract 37.01, Philadelphia County, Pennsylvania",6106
42003702,"Census Tract 37.02, Philadelphia County, Pennsylvania",3678
42003800,"Census Tract 38, Philadelphia County, Pennsylvania",3820
42003901,"Census Tract 39.01, Philadelphia County, Pennsylvania",6219
42003902,"Census Tract 39.02, Philadelphia County, Pennsylvania",5697
42004001,"Census Tract 40.01, Philadelphia County, Pennsylvania",4477
42004002,"Census Tract 40.02, Philadelphia County, Pennsylvania",5359
42004101,"Census Tract 41.01, Philadelphia County, Pennsylvania",7166
42004103,"Census Tract 41.03, Philadelphia County, Pennsylvania",4273
42004104,"Census Tract 41.04, Philadelphia County, Pennsylvania",4561
42004201,"Census Tract 42.01, Philadelphia County, Pennsylvania",5287
42004202,"Census Tract 42.02, Philadelphia County, Pennsylvania",5261
42005400,"Census Tract 54, Philadelphia County, Pennsylvania",1191
42005500,"Census Tract 55, Philadelphia County, Pennsylvania",5498
42005600,"Census Tract 56, Philadelphia County, Pennsylvania",1061
42006000,"Census Tract 60, Philadelphia County, Pennsylvania",6607
42006100,"Census Tract 61, Philadelphia County, Pennsylvania",3380
42006200,"Census Tract 62, Philadelphia County, Pennsylvania",4498
42006300,"Census Tract 63, Philadelphia County, Pennsylvania",4022
42006400,"Census Tract 64, Philadelphia County, Pennsylvania",4549
42006500,"Census Tract 65, Philadelphia County, Pennsylvania",4663
42006600,"Census Tract 66, Philadelphia County, Pennsylvania",3592
42006700,"Census Tract 67, Philadelphia County, Pennsylvania",7450
42007000,"Census Tract 70, Philadelphia County, Pennsylvania",3892
42007101,"Census Tract 71.01, Philadelphia County, Pennsylvania",2437
42007102,"Census Tract 71.02, Philadelphia County, Pennsylvania",4674
42007200,"Census Tract 72, Philadelphia County, Pennsylvania",4502
42007300,"Census Tract 73, Philadelphia County, Pennsylvania",3207
42007400,"Census Tract 74, Philadelphia County, Pennsylvania",4225
42007700,"Census Tract 77, Philadelphia County, Pennsylvania",2302
42007800,"Census Tract 78, Philadelphia County, Pennsylvania",4358
42007900,"Census Tract 79, Philadelphia County, Pennsylvania",4722
42805100,"Census Tract 8051, Westmoreland County, Pennsylvania",2652
42805200,"Census Tract 8052, Westmoreland County, Pennsylvania",1851
42805400,"Census Tract 8054, Westmoreland County, Pennsylvania",1377
42805500,"Census Tract 8055, Westmoreland County, Pennsylvania",3648
42805600,"Census Tract 8056, Westmoreland County, Pennsylvania",1873
42805800,"Census Tract 8058, Westmoreland County, Pennsylvania",3174
42805901,"Census Tract 8059.01, Westmoreland County, Pennsylvania",1514
42805903,"Census Tract 8059.03, Westmoreland County, Pennsylvania",3820
42805904,"Census Tract 8059.04, Westmoreland County, Pennsylvania",2885
42806000,"Census Tract 8060, Westmoreland County, Pennsylvania",2665
42806100,"Census Tract 8061, Westmoreland County, Pennsylvania",3334
42806200,"Census Tract 8062, Westmoreland County, Pennsylvania",2435
42806300,"Census Tract 8063, Westmoreland County, Pennsylvania",1980
42806400,"Census Tract 8064, Westmoreland County, Pennsylvania",2450
42806500,"Census Tract 8065, Westmoreland County, Pennsylvania",4701
42806600,"Census Tract 8066, Westmoreland County, Pennsylvania",3020
42806700,"Census Tract 8067, Westmoreland County, Pennsylvania",2750
42806800,"Census Tract 8068, Westmoreland County, Pennsylvania",1495
42806900,"Census Tract 8069, Westmoreland County, Pennsylvania",3949
42807000,"Census Tract 8070, Westmoreland County, Pennsylvania",3083
42807100,"Census Tract 8071, Westmoreland County, Pennsylvania",3087
42807201,"Census Tract 8072.01, Westmoreland County, Pennsylvania",4622
42807202,"Census Tract 8072.02, Westmoreland County, Pennsylvania",3026
42807300,"Census Tract 8073, Westmoreland County, Pennsylvania",4691
42807401,"Census Tract 8074.01, Westmoreland County, Pennsylvania",2082
42807403,"Census Tract 8074.03, Westmoreland County, Pennsylvania",2293
42807404,"Census Tract 8074.04, Westmoreland County, Pennsylvania",5144
42807500,"Census Tract 8075, Westmoreland County, Pennsylvania",2266
42807600,"Census Tract 8076, Westmoreland County, Pennsylvania",2370
42807700,"Census Tract 8077, Westmoreland County, Pennsylvania",3424
42807800,"Census Tract 8078, Westmoreland County, Pennsylvania",3878
42807901,"Census Tract 8079.01, Westmoreland County, Pennsylvania",3057
42807902,"Census Tract 8079.02, Westmoreland County, Pennsylvania",3148
42808100,"Census Tract 8081, Westmoreland County, Pennsylvania",4049
42808200,"Census Tract 8082, Westmoreland County, Pennsylvania",2639
42808300,"Census Tract 8083, Westmoreland County, Pennsylvania",4903
42808401,"Census Tract 8084.01, Westmoreland County, Pennsylvania",1792
42805000,"Census Tract 8050, Westmoreland County, Pennsylvania",3556
42808402,"Census Tract 8084.02, Westmoreland County, Pennsylvania",4410
42808500,"Census Tract 8085, Westmoreland County, Pennsylvania",1513
42808600,"Census Tract 8086, Westmoreland County, Pennsylvania",4190
42400100,"Census Tract 4001, Wyoming County, Pennsylvania",2818
42400200,"Census Tract 4002, Wyoming County, Pennsylvania",3890
42429700,"Census Tract 4297, Allegheny County, Pennsylvania",2370
42430100,"Census Tract 4301, Allegheny County, Pennsylvania",2134
42430200,"Census Tract 4302, Allegheny County, Pennsylvania",4551
42431100,"Census Tract 4311, Allegheny County, Pennsylvania",3253
42431400,"Census Tract 4314, Allegheny County, Pennsylvania",1893
42431500,"Census Tract 4315, Allegheny County, Pennsylvania",3165
42432300,"Census Tract 4323, Allegheny County, Pennsylvania",2183
42432400,"Census Tract 4324, Allegheny County, Pennsylvania",2579
42434000,"Census Tract 4340, Allegheny County, Pennsylvania",1918
42435000,"Census Tract 4350, Allegheny County, Pennsylvania",2525
42437000,"Census Tract 4370, Allegheny County, Pennsylvania",7178
42439000,"Census Tract 4390, Allegheny County, Pennsylvania",1505
42445500,"Census Tract 4455, Allegheny County, Pennsylvania",3907
42446000,"Census Tract 4460, Allegheny County, Pennsylvania",1669
42447000,"Census Tract 4470, Allegheny County, Pennsylvania",1624
42448000,"Census Tract 4480, Allegheny County, Pennsylvania",1162
42449000,"Census Tract 4490, Allegheny County, Pennsylvania",2488
42450700,"Census Tract 4507, Allegheny County, Pennsylvania",3033
42450800,"Census Tract 4508, Allegheny County, Pennsylvania",2526
42451101,"Census Tract 4511.01, Allegheny County, Pennsylvania",3792
42451102,"Census Tract 4511.02, Allegheny County, Pennsylvania",6047
42451104,"Census Tract 4511.04, Allegheny County, Pennsylvania",3966
42451105,"Census Tract 4511.05, Allegheny County, Pennsylvania",5625
42451300,"Census Tract 4513, Allegheny County, Pennsylvania",7810
42452000,"Census Tract 4520, Allegheny County, Pennsylvania",6372
42453003,"Census Tract 4530.03, Allegheny County, Pennsylvania",2184
42453004,"Census Tract 4530.04, Allegheny County, Pennsylvania",7258
42455000,"Census Tract 4550, Allegheny County, Pennsylvania",1475
42456001,"Census Tract 4560.01, Allegheny County, Pennsylvania",4679
42456003,"Census Tract 4560.03, Allegheny County, Pennsylvania",8059
42456004,"Census Tract 4560.04, Allegheny County, Pennsylvania",5620
42457100,"Census Tract 4571, Allegheny County, Pennsylvania",1406
42457200,"Census Tract 4572, Allegheny County, Pennsylvania",3398
42458001,"Census Tract 4580.01, Allegheny County, Pennsylvania",4333
42458002,"Census Tract 4580.02, Allegheny County, Pennsylvania",4602
42459101,"Census Tract 4591.01, Allegheny County, Pennsylvania",1733
42459102,"Census Tract 4591.02, Allegheny County, Pennsylvania",6426
42459201,"Census Tract 4592.01, Allegheny County, Pennsylvania",7344
42459202,"Census Tract 4592.02, Allegheny County, Pennsylvania",677
42460001,"Census Tract 4600.01, Allegheny County, Pennsylvania",4925
42460002,"Census Tract 4600.02, Allegheny County, Pennsylvania",3776
42461000,"Census Tract 4610, Allegheny County, Pennsylvania",1108
42462100,"Census Tract 4621, Allegheny County, Pennsylvania",2524
42462600,"Census Tract 4626, Allegheny County, Pennsylvania",3902
42021400,"Census Tract 214, Dauphin County, Pennsylvania",4915
42021500,"Census Tract 215, Dauphin County, Pennsylvania",3745
42021600,"Census Tract 216, Dauphin County, Pennsylvania",2623
42021700,"Census Tract 217, Dauphin County, Pennsylvania",6024
42021800,"Census Tract 218, Dauphin County, Pennsylvania",2282
42021901,"Census Tract 219.01, Dauphin County, Pennsylvania",4778
42021903,"Census Tract 219.03, Dauphin County, Pennsylvania",3703
42021904,"Census Tract 219.04, Dauphin County, Pennsylvania",6123
42022000,"Census Tract 220, Dauphin County, Pennsylvania",5318
42022100,"Census Tract 221, Dauphin County, Pennsylvania",4532
42022200,"Census Tract 222, Dauphin County, Pennsylvania",3274
42022300,"Census Tract 223, Dauphin County, Pennsylvania",5867
42022401,"Census Tract 224.01, Dauphin County, Pennsylvania",4732
42022403,"Census Tract 224.03, Dauphin County, Pennsylvania",7108
42022501,"Census Tract 225.01, Dauphin County, Pennsylvania",6308
42022502,"Census Tract 225.02, Dauphin County, Pennsylvania",5658
42022601,"Census Tract 226.01, Dauphin County, Pennsylvania",7368
42022604,"Census Tract 226.04, Dauphin County, Pennsylvania",7443
42022605,"Census Tract 226.05, Dauphin County, Pennsylvania",5519
42022606,"Census Tract 226.06, Dauphin County, Pennsylvania",3498
42022701,"Census Tract 227.01, Dauphin County, Pennsylvania",4352
42022702,"Census Tract 227.02, Dauphin County, Pennsylvania",5839
42022800,"Census Tract 228, Dauphin County, Pennsylvania",6484
42022901,"Census Tract 229.01, Dauphin County, Pennsylvania",3789
42022902,"Census Tract 229.02, Dauphin County, Pennsylvania",5453
42023000,"Census Tract 230, Dauphin County, Pennsylvania",1907
42023100,"Census Tract 231, Dauphin County, Pennsylvania",1648
42023300,"Census Tract 233, Dauphin County, Pennsylvania",4435
42023400,"Census Tract 234, Dauphin County, Pennsylvania",1828
42023500,"Census Tract 235, Dauphin County, Pennsylvania",2741
42023601,"Census Tract 236.01, Dauphin County, Pennsylvania",2881
42023602,"Census Tract 236.02, Dauphin County, Pennsylvania",6650
42023700,"Census Tract 237, Dauphin County, Pennsylvania",1459
42023800,"Census Tract 238, Dauphin County, Pennsylvania",4103
