stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
27891,BRIWALEA,Bridge St & Walnut St,BRIDGE ST & WALNUT ST,40.136126,-75.506918,1,,,,,1
27892,BRINOREA,Bridge St & Norwood St - FS,BRIDGE ST & NORWOOD ST,40.138225,-75.503487,1,,,,,1
27897,COLBLANE,Collegeville Rd & BlackRock Rd - MBFS,S COLLEGEVILLE RD & NORWOOD ST,40.158006,-75.483114,1,,,,,1
27898,ARCSPRSO,Arcola Rd & Springhouse Dr,ARCOLA RD & SPRINGHOUSE DR,40.163499,-75.473347,1,,,,,1
27899,CAMIRMSO,Campus Dr & Iron Mountain Bldg,CAMPUS DR,40.161411,-75.473014,1,,,,,1
27900,CAMMARSO,Campus Dr & Marriott Hotel - FS,CAMPUS DR,40.159679,-75.471769,1,,,,,1
27901,CAMWYESO,Campus Dr & Wyeth Bldg 400,CAMPUS DR,40.158537,-75.470442,1,,,,,1
27902,CAMARCSO,Campus Dr & Arcola Rd,CAMPUS DR & ARCOLA RD,40.159101,-75.466392,1,,,,,1
27905,CDMMINSO,Cider Mill Rd & Minuteman Dr,CIDER MILL RD & MINUTEMAN DR,40.14742,-75.455919,1,,,,,1
27907,CIDFRESE,Cider Mill Rd & Freedom Valley Dr - MBNS,CIDER MILL RD & UPPER INDIAN HEAD RD,40.140753,-75.449688,1,,,,,1
27912,EGYPAWEA,Egypt Rd & Pawlings Rd,EGYPT RD & PAWLINGS RD,40.128223,-75.432117,1,,,,,1
27914,EGYCRAEA,Egypt Rd & Crawford Rd,EGYPT RD & CRAWFORD RD,40.129107,-75.422789,1,,,,,1
27916,EGYRITEA,Egypt Rd & Rittenhouse Rd - FS,EGYPT RD & RITTENHOUSE RD,40.129874,-75.413448,1,,,,,1
27917,SHATROSO,Shannondell Blvd & Trooper Rd,SHANNONDELL RD,40.127855,-75.405813,1,,,,,1
27918,TROBURSO,Trooper Rd & Van Buren Av,S TROOPER RD & VAN BUREN AVE,40.120974,-75.411793,1,,,,,1
27920,TROAUDSO,Trooper Rd & Audubon Rd,S TROOPER RD & AUDUBON RD,40.114638,-75.41847,1,,,,,1
27921,FIRGSIEA,1st Av & Park Av - FS,1ST AVE,40.094992,-75.4067,1,,,,,1
27923,FIRAL2EA,1st Av & Allendale Rd,1ST AVE,40.098184,-75.395115,1,,,,,1
27924,ALLKEESO,Allendale Rd & Keebler Rd,ALLENDALE RD,40.097389,-75.393032,1,,,,,1
27926,ALLELLSO,Allendale Rd & Elliott Dr,ALLENDALE RD & ELLIOTT DR,40.093728,-75.388159,1,,,,,1
27927,WILALLWE,Wills Blvd & Allendale Rd - MBFS,WILLS BLVD,40.090416,-75.385972,1,,,,,1
27928,COUALLNE,Court Blvd & Allendale Rd - MBNS,,40.089371,-75.384222,1,,,,,1
27930,MONHENEA,Monroe Blvd & Henderson Rd - MBFS,MONROE BLVD & SCHOOL LN,40.092555,-75.358828,1,,,,,1
27948,VERSTRNE,Verree Rd & Strahle St,VERREE RD & STRAHLE ST,40.077524,-75.071016,1,,0,,,1
27949,VERBLMNE,Verree Rd & Bloomfield Av - MBNS,VERREE RD,40.085864,-75.06016,1,,,,,1
27950,VERPINNE,Verree Rd & Pine Hill Rd - MBNS,VERREE RD,40.099314,-75.044861,1,,,,,1
27953,REDFERNW,Red Lion Rd & Ferndale St,RED LION RD & FERNDALE ST,40.106315,-75.034563,1,,,,,1
27954,VERDOGSW,Verree Rd & Dogwood Ln - FS,VERREE RD & CHARETTE RD,40.092752,-75.053108,1,,,,,1
27955,VERSU1SW,Verree Rd & Susquehanna Rd  - MBNS,VERREE RD,40.081839,-75.066238,1,,,,,1
27956,VERBL3SW,Verree Rd & Bloomfield Av - 3 MBFS,VERREE RD & BLOOMFIELD AVE,40.08439,-75.062546,1,,,,,1
27957,VERBL4SW,Verree Rd & Bloomfield Av - 4 MBFS,VERREE RD & BLOOMFIELD AVE,40.083261,-75.06416,1,,,,,1
27958,VERSTRSW,Verree Rd & Strahle St,VERREE RD & STRAHLE ST,40.0778,-75.071014,1,,,,,1
27959,GREKRESE,Gregg St & Krewstown Rd,GREGG ST & KREWSTOWN RD,40.086296,-75.046197,1,,,,,1
27960,GRABLENW,Grant Av & Blue Grass Rd - MBNS,GRANT AVE,40.075588,-75.01894,1,,,,,1
27961,GRABLGNW,Grant Av & Blue Grass Rd - 2,GRANT AVE & BLUE GRASS RD,40.078964,-75.025037,1,,,,,1
27962,KRESURSW,Krewstown Rd & Surrey Rd,KREWSTOWN RD & SURREY RD,40.084782,-75.047578,1,,,,,1
27963,DUNRHASW,Dungan Rd & Rhawn St - FS,DUNGAN RD & RHAWN ST,40.068535,-75.06763,1,,,,,1
27964,DUNLORSW,Dungan Rd & Lorna Dr,DUNGAN RD & BORBECK AVE,40.065936,-75.070257,1,,,,,1
27965,NAPWHISE,Napfle Av & Whitaker Av,NAPFLE AVE & WHITAKER AVE,40.062381,-75.072357,1,,,,,1
27966,SUS8THWE,Susquehanna Av & 8th St,W SUSQUEHANNA AVE & N FRANKLIN ST,39.985118,-75.146653,1,,0,,,1
27967,SCHWISNE,School House Ln & Wissahickon - FS,W SCHOOL HOUSE LN & W SCHOOL HOUSE LN,40.025863,-75.181341,1,,,,,1
27968,BELARSEA,Belfield Av & Armstrong St - MBNS,BELFIELD AVE & E ARMSTRONG ST,40.036854,-75.161783,1,,,,,1
27970,MIDTOWEA,Middletown Blvd & Town Center Dr,MIDDLETOWN BLVD,40.186548,-74.881615,1,,,,,1
27972,BUCTOWEA,North Bucks Town Rd & Town Ctr Dr,N BUCKSTOWN RD & TOWN CENTER DR,40.187068,-74.875936,1,,0,,,1
27975,OXFBR2SE,Oxford Valley Rd & Bristol Oxford Valley Rd - MBFS,N OXFORD VALLEY RD,40.179202,-74.869457,1,,,,,1
27980,OLDHOONE,Olds Blvd & Hood Blvd,S OLDS BLVD & HOOD BLVD,40.172927,-74.847699,1,,,,,1
27983,HOOQUAEA,Hood Blvd & Queen Anne Dr,HOOD BLVD & S QUEEN ANNE DR,40.17257,-74.844006,1,,,,,1
27984,HOOFRHEA,Hood Blvd & Fairhurst Rd,HOOD BLVD & FAIRHURST RD,40.172836,-74.839692,1,,,,,1
27986,NEWHOOSW,New Falls Rd & Hood Blvd - MBFS,NEW FALLS RD & NEW FALLS RD,40.171146,-74.83524,1,,,,,1
27987,NEFPARSW,New Falls Rd & Parson Pl,NEW FALLS RD & PARSON PL,40.169326,-74.837411,1,,,,,1
27988,LEVNEFSE,Levittown Pkwy & New Falls Rd - FS,LEVITTOWN PKWY & NEW FALLS RD,40.165087,-74.841296,1,,,,,1
27989,LEVHOLSE,Levittown Pkwy & Holly Turn,LEVITTOWN PKWY & HOLLY TURN,40.164283,-74.839265,1,,,,,1
27991,LEVCRASE,Levittown Pkwy & Crabtree Dr - FS,LEVITTOWN PKWY & CRABTREE DR,40.161246,-74.833143,1,,,,,1
27996,LEVSEXSO,Levittown Pkwy & Sexton Ln,LEVITTOWN PKWY & SEXTON LN,40.151581,-74.825953,1,,,,,1
27998,LEVSPUSO,Levittown Pkwy & Spur Ln,LEVITTOWN PKWY & SPUR LN,40.147657,-74.823049,1,,,,,1
27999,LEVLAKSO,Levittown Pkwy & Lakeside Dr - FS,LEVITTOWN PKWY,40.145203,-74.821306,1,,,,,1
28000,LEVWALSO,Levittown Town Ctr & Walmart,LEVITTOWN SHOP CIR & LEVITTOWN CTR,40.14262,-74.820629,1,,0,,,1
28005,TYBMARNW,Tyburn Rd & Martha Dr,TYBURN RD & MARTHA DR,40.182959,-74.813864,1,,,,,1
28010,TREBEVWE,Trenton Rd & Beverly Av,TRENTON RD & VIRGA AVE,40.187791,-74.829166,1,,,,,1
28012,ARLLINNO,Arleans Av & Lincoln Hwy - MBNS,ARLEANS AVE & AVENROWE CT,40.189247,-74.831393,1,,,,,1
28015,WOOTREEA,Woolston Dr & West Trenton Av - MBNS,WOOLSTON DR,40.195543,-74.817015,1,,,,,1
28019,TRESWENE,W Trenton Av & Sweetbriar Rd,W TRENTON AVE & SWEETBRIAR DR,40.205163,-74.805769,1,,,,,1
28021,TREPLANE,W Trenton Av & Plaza Blvd - MBFS,W TRENTON AVE,40.208485,-74.800608,1,,0,,,1
28026,TRELINNE,W Trenton Av & Lincoln Av,W TRENTON AVE & LINCOLN AVE,40.212527,-74.791339,1,,,,,1
28028,TREHAMNE,W Trenton Av & Hamilton Blvd,W TRENTON AVE & HAMILTON AVE,40.213516,-74.789209,1,,,,,1
28030,TRELAFNE,W Trenton Av & Lafayette Av,W TRENTON AVE & HAMILTON AVE,40.214478,-74.787138,1,,,,,1
28031,TREPENNE,W Trenton Av & Pennsylvania Av,W TRENTON AVE & E TRENTON AVE,40.215838,-74.78421,1,,,,,1
28033,PENHENSE,Pennsylvania Av & Hendrickson Av,N PENNSYLVANIA AVE & E HENDRICKSON AVE,40.213964,-74.780908,1,,,,,1
