geoname,geoid,total
"Block Group 4, Census Tract 12, Lancaster County, Pennsylvania",1500000US420710012004,771
"Block Group 3, Census Tract 14, Lancaster County, Pennsylvania",1500000US420710014003,1355
"Block Group 2, Census Tract 101.02, Lancaster County, Pennsylvania",1500000US420710101022,1216
"Block Group 1, Census Tract 101.04, Lancaster County, Pennsylvania",1500000US420710101041,1274
"Block Group 1, Census Tract 102.01, Lancaster County, Pennsylvania",1500000US420710102011,855
"Block Group 1, Census Tract 102.02, Lancaster County, Pennsylvania",1500000US420710102021,2953
"Block Group 2, Census Tract 304, Perry County, Pennsylvania",1500000US420990304002,1022
"Block Group 2, Census Tract 305.01, Perry County, Pennsylvania",1500000US420990305012,1283
"Block Group 1, Census Tract 305.02, Perry County, Pennsylvania",1500000US420990305021,1475
"Block Group 4, Census Tract 305.02, Perry County, Pennsylvania",1500000US420990305024,2295
"Block Group 3, Census Tract 306.01, Perry County, Pennsylvania",1500000US420990306013,1034
"Block Group 2, Census Tract 306.02, Perry County, Pennsylvania",1500000US420990306022,1288
"Block Group 3, Census Tract 1.01, Philadelphia County, Pennsylvania",1500000US421010001013,0
"Block Group 1, Census Tract 1.02, Philadelphia County, Pennsylvania",1500000US421010001021,1374
"Block Group 4, Census Tract 1.02, Philadelphia County, Pennsylvania",1500000US421010001024,577
"Block Group 2, Census Tract 2, Philadelphia County, Pennsylvania",1500000US421010002002,586
"Block Group 2, Census Tract 5, Philadelphia County, Pennsylvania",1500000US421010005002,33
"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1500000US421010006001,1161
"Block Group 2, Census Tract 7.01, Philadelphia County, Pennsylvania",1500000US421010007012,849
"Block Group 2, Census Tract 7.02, Philadelphia County, Pennsylvania",1500000US421010007022,1313
"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",1500000US421010008031,868
"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",1500000US421010008034,1364
"Block Group 1, Census Tract 8.06, Philadelphia County, Pennsylvania",1500000US421010008061,1483
"Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania",1500000US421010009012,1166
"Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania",1500000US421010010011,1187
"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",1500000US421010010021,2194
"Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania",1500000US421010011011,1188
"Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania",1500000US421010011014,799
"Block Group 3, Census Tract 11.02, Philadelphia County, Pennsylvania",1500000US421010011023,553
"Block Group 3, Census Tract 12.01, Philadelphia County, Pennsylvania",1500000US421010012013,1020
"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",1500000US421010015001,1120
"Block Group 2, Census Tract 16, Philadelphia County, Pennsylvania",1500000US421010016002,1426
"Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",1500000US421010018001,2283
"Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",1500000US421010019003,1224
